	observed_otus
TOKA-006-10	1028
TOKA-006-40	1134
TOKA-007-10	1376
TOKA-007-40	1029
TOKA-013-10	1201
TOKA-013-40	955
TOKA-016-10	1321
TOKA-016-40	909
TOKA-018-10	965
TOKA-018-40	1126
TOKA-022-10	1383
TOKA-022-40	1167
TOKA-029-10	1603
TOKA-029-40	1136
TOKA-030-10	1720
TOKA-030-40	869
TOKA-034-10	1277
TOKA-034-40	933
TOKA-041-10	1177
TOKA-041-40	835
TOKA-055-10	1206
TOKA-055-40	1330
TOKA-057-10	1499
TOKA-057-40	843
TOKA-060-10	1718
TOKA-060-40	1350
TOKA-061-10	1291
TOKA-061-40	1104
TOKA-064-10	1410
TOKA-064-40	1092
TOKA-067-10	1592
TOKA-067-40	1058
TOKA-068-10	1431
TOKA-068-40	1364
TOKA-080-10	1378
TOKA-080-40	1303
TOKA-089-10	1733
TOKA-089-40	1185
TOKA-099-10	4
TOKA-099-40	1198
TOKA-104-10	1560
TOKA-104-40	1102
TOKA-111-10	1351
TOKA-111-40	1123
TOKA-115-10	1742
TOKA-115-40	1538
TOKA-119-10	1366
TOKA-119-40	1045
TOKA-126-10	1707
TOKA-126-40	1254
TOKA-129-10	1594
TOKA-129-40	1421
TOKA-135-10	1845
TOKA-135-40	1423
TOKA-137-10	1514
TOKA-137-40	1078
TOKA-169-10	1390
TOKA-169-40	1476
TOKA-170-10	1471
TOKA-170-40	1004
